iter	Passed	Remaining
423	3113	4229
424	3117	4217
425	3121	4206
426	3126	4196
427	3131	4185
428	3136	4174
429	3140	4163
430	3145	4152
431	3149	4141
432	3154	4130
433	3158	4119
434	3164	4109
435	3168	4098
436	3187	4107
437	3197	4103
438	3205	4096
439	3212	4088
440	3217	4078
441	3222	4068
442	3227	4057
443	3232	4047
444	3238	4038
445	3243	4028
446	3251	4022
447	3259	4016
448	3267	4009
449	3272	4000
450	3277	3989
451	3282	3979
452	3287	3970
453	3292	3960
454	3297	3949
455	3302	3939
456	3306	3928
457	3311	3918
458	3315	3908
459	3321	3898
460	3325	3888
461	3330	3878
462	3335	3868
463	3339	3858
464	3360	3866
465	3370	3862
466	3377	3855
467	3384	3847
468	3389	3838
469	3394	3828
470	3399	3818
471	3404	3808
472	3422	3813
473	3432	3809
474	3442	3805
475	3451	3799
476	3458	3792
477	3463	3782
478	3474	3779
479	3484	3774
480	3500	3776
481	3507	3769
482	3512	3759
483	3524	3757
484	3532	3751
485	3539	3743
486	3545	3734
487	3551	3726
488	3556	3716
489	3562	3707
490	3572	3703
491	3577	3693
492	3582	3684
493	3587	3674
494	3592	3665
495	3597	3655
496	3601	3645
497	3606	3635
498	3611	3626
499	3616	3616
500	3620	3605
501	3625	3597
502	3630	3587
503	3634	3577
504	3639	3567
505	3646	3559
506	3652	3551
507	3665	3550
508	3670	3540
509	3674	3530
510	3684	3526
511	3690	3517
512	3694	3507
513	3699	3497
514	3703	3488
515	3708	3478
516	3713	3469
517	3717	3459
518	3722	3449
519	3726	3440
520	3731	3431
521	3736	3421
522	3757	3426
523	3766	3421
524	3774	3415
525	3780	3406
526	3785	3397
527	3790	3388
528	3795	3378
529	3799	3369
530	3803	3359
531	3823	3363
532	3834	3359
533	3846	3356
534	3855	3350
535	3863	3344
536	3869	3335
537	3879	3331
538	3885	3323
539	3889	3313
540	3894	3304
541	3899	3294
542	3903	3285
543	3908	3275
544	3912	3266
545	3916	3256
546	3922	3248
547	3926	3238
548	3931	3229
549	3935	3219
550	3939	3210
551	3945	3201
552	3949	3192
553	3953	3183
554	3958	3173
555	3962	3164
556	3967	3155
557	3971	3145
558	3976	3137
559	3980	3127
560	3985	3118
561	3990	3109
562	3994	3100
563	3998	3091
564	4002	3081
565	4007	3073
566	4014	3065
567	4024	3060
568	4030	3053
569	4035	3044
570	4039	3035
571	4046	3027
572	4050	3018
573	4058	3012
574	4063	3003
575	4073	2998
576	4079	2990
577	4084	2982
578	4089	2973
579	4094	2964
580	4098	2955
581	4103	2946
582	4107	2938
583	4112	2929
584	4116	2920
585	4120	2911
586	4125	2902
587	4129	2893
588	4134	2885
589	4156	2888
590	4171	2887
591	4182	2882
592	4187	2873
593	4191	2864
594	4197	2856
595	4205	2850
596	4210	2842
597	4215	2834
598	4221	2826
599	4226	2817
600	4230	2808
601	4235	2800
602	4240	2791
603	4245	2783
604	4251	2775
605	4260	2769
606	4269	2764
607	4276	2757
608	4281	2748
609	4286	2740
610	4291	2731
611	4296	2723
612	4301	2715
613	4306	2707
614	4311	2699
615	4316	2690
616	4320	2681
617	4325	2673
618	4329	2664
619	4333	2656
620	4338	2647
621	4342	2639
622	4361	2639
623	4372	2634
624	4381	2628
625	4387	2620
626	4393	2613
627	4398	2605
628	4403	2597
629	4408	2589
630	4414	2581
631	4418	2572
632	4424	2565
633	4428	2556
634	4432	2548
635	4437	2539
636	4442	2531
637	4465	2533
638	4478	2530
639	4484	2522
640	4495	2517
641	4502	2510
642	4508	2502
643	4513	2494
644	4517	2486
645	4522	2478
646	4527	2470
647	4533	2462
648	4538	2454
649	4542	2446
650	4548	2438
651	4552	2429
652	4557	2421
653	4561	2413
654	4567	2405
655	4571	2397
656	4593	2398
657	4602	2392
658	4609	2385
659	4615	2377
660	4621	2370
661	4626	2362
662	4631	2353
663	4638	2347
664	4645	2339
665	4649	2331
666	4656	2324
667	4665	2318
668	4679	2315
669	4689	2309
670	4698	2303
671	4703	2295
672	4708	2287
673	4713	2279
674	4718	2271
675	4723	2263
676	4728	2255
677	4733	2247
678	4737	2239
679	4741	2231
680	4746	2223
681	4753	2216
682	4758	2208
683	4762	2200
684	4767	2192
685	4772	2184
686	4791	2183
687	4802	2177
688	4809	2171
689	4816	2163
690	4822	2156
691	4826	2148
692	4832	2141
693	4841	2134
694	4853	2130
695	4860	2123
696	4870	2117
697	4876	2109
698	4887	2104
699	4893	2097
700	4898	2089
701	4904	2081
702	4908	2073
703	4913	2066
704	4918	2058
705	4923	2050
706	4929	2042
707	4935	2035
708	4940	2027
709	4949	2021
710	4956	2014
711	4962	2007
712	4966	1999
713	4971	1991
714	4976	1983
715	4981	1975
716	4986	1968
717	4990	1960
718	4995	1952
719	4999	1944
720	5004	1936
721	5008	1928
722	5012	1920
723	5017	1912
724	5022	1904
725	5027	1897
726	5032	1889
727	5036	1881
728	5042	1874
729	5048	1867
730	5054	1860
731	5065	1854
732	5070	1847
733	5076	1839
734	5080	1831
735	5085	1824
736	5090	1816
737	5095	1808
738	5099	1801
739	5104	1793
740	5108	1785
741	5112	1777
742	5117	1770
743	5121	1762
744	5127	1754
745	5131	1747
746	5135	1739
747	5140	1731
748	5144	1723
749	5149	1716
750	5153	1708
751	5158	1701
752	5163	1693
753	5167	1686
754	5173	1678
755	5193	1676
756	5210	1672
757	5217	1665
758	5223	1658
759	5229	1651
760	5236	1644
761	5243	1637
762	5250	1630
763	5261	1625
764	5266	1617
765	5271	1610
766	5276	1602
767	5281	1595
768	5286	1587
769	5291	1580
770	5295	1572
771	5301	1565
772	5306	1558
773	5311	1550
774	5316	1543
775	5320	1535
776	5325	1528
777	5329	1520
778	5334	1513
779	5338	1505
780	5343	1498
781	5362	1494
782	5371	1488
783	5378	1481
784	5384	1474
785	5390	1467
786	5394	1460
787	5399	1452
788	5404	1445
789	5408	1437
790	5413	1430
791	5417	1422
792	5438	1419
793	5452	1414
794	5468	1410
795	5475	1403
796	5480	1396
797	5486	1388
798	5490	1381
799	5495	1373
800	5499	1366
801	5504	1358
802	5509	1351
803	5514	1344
804	5518	1336
805	5522	1329
806	5527	1321
807	5531	1314
808	5536	1307
809	5540	1299
810	5559	1295
811	5572	1290
812	5580	1283
813	5586	1276
814	5591	1269
815	5597	1262
816	5601	1254
817	5606	1247
818	5629	1244
819	5639	1237
820	5655	1233
821	5666	1227
822	5672	1219
823	5677	1212
824	5682	1205
825	5687	1197
826	5691	1190
827	5697	1183
828	5702	1176
829	5707	1169
830	5714	1162
831	5719	1154
832	5725	1147
833	5735	1141
834	5745	1135
835	5755	1129
836	5767	1123
837	5777	1116
838	5782	1109
839	5788	1102
840	5792	1095
841	5797	1087
842	5802	1080
843	5807	1073
844	5812	1066
845	5817	1058
846	5822	1051
847	5829	1044
848	5836	1038
849	5848	1032
850	5861	1026
851	5871	1019
852	5881	1013
853	5887	1006
854	5892	999
855	5898	992
856	5902	984
857	5907	977
858	5911	970
859	5915	963
860	5920	955
861	5924	948
862	5929	941
863	5933	934
864	5938	926
865	5942	919
866	5947	912
867	5951	905
868	5956	897
869	5960	890
870	5965	883
871	5969	876
872	5973	869
873	5978	861
874	5983	854
875	5988	847
876	5992	840
877	5996	833
878	6001	826
879	6021	821
880	6029	814
881	6038	807
882	6046	801
883	6053	794
884	6060	787
885	6067	780
886	6075	774
887	6080	766
888	6084	759
889	6089	752
890	6094	745
891	6099	738
892	6103	731
893	6109	724
894	6113	717
895	6118	710
896	6122	703
897	6127	696
898	6132	688
899	6136	681
900	6141	674
901	6145	667
902	6149	660
903	6156	653
904	6160	646
905	6164	639
906	6168	632
907	6188	627
908	6197	620
909	6203	613
910	6210	606
911	6220	600
912	6224	593
913	6234	586
914	6241	579
915	6251	573
916	6256	566
917	6267	559
918	6272	552
919	6277	545
920	6281	538
921	6285	531
922	6290	524
923	6295	517
924	6299	510
925	6303	503
926	6308	496
927	6312	489
928	6317	482
929	6321	475
930	6325	468
931	6345	462
932	6355	456
933	6364	449
934	6369	442
935	6374	435
936	6379	428
937	6385	422
938	6390	415
939	6394	408
940	6398	401
941	6404	394
942	6409	387
943	6413	380
944	6418	373
945	6423	366
946	6428	359
947	6432	352
948	6440	346
949	6454	339
950	6465	333
951	6476	326
952	6484	319
953	6490	312
954	6496	306
955	6502	299
956	6507	292
957	6513	285
958	6518	278
959	6522	271
960	6527	264
961	6531	258
962	6537	251
963	6541	244
964	6547	237
965	6566	231
966	6574	224
967	6584	217
968	6591	210
969	6596	204
970	6601	197
971	6606	190
972	6610	183
973	6616	176
974	6621	169
975	6625	162
976	6630	156
977	6635	149
978	6640	142
979	6645	135
980	6652	128
981	6659	122
982	6671	115
983	6677	108
984	6682	101
985	6687	94
986	6698	88
987	6718	81
988	6742	74
989	6778	68
990	6830	62
991	6857	55
992	6872	48
993	6904	41
994	6922	34
995	6954	27
996	6984	21
997	7019	14
998	7058	7
999	7091	0
