iter	Logloss
0	0.672273837
1	0.6501820642
2	0.6299691801
3	0.6145429879
4	0.5995999551
5	0.5855932304
6	0.5711854255
7	0.5539268325
8	0.541496121
9	0.5268546184
10	0.5127526086
11	0.5004189441
12	0.4873793506
13	0.4751591795
14	0.4643108203
15	0.4551040084
16	0.4451936817
17	0.433324747
18	0.4240499027
19	0.4146443786
20	0.4053888704
21	0.397724907
22	0.3903315064
23	0.3830063867
24	0.3757986173
25	0.3693386027
26	0.3624906711
27	0.357152797
28	0.3500124834
29	0.3442343027
30	0.33943298
31	0.3348195672
32	0.3299669694
33	0.3258667045
34	0.3208588931
35	0.3168378689
36	0.311946859
37	0.3083280463
38	0.3032037051
39	0.2995363333
40	0.2947053006
41	0.2908435333
42	0.2871284835
43	0.283181603
44	0.2797846184
45	0.2764924917
46	0.2723589168
47	0.2691136447
48	0.2672181014
49	0.2639043766
50	0.2608416185
51	0.2589770745
52	0.2553678148
53	0.2528666902
54	0.2498613151
55	0.2477446936
56	0.2456273857
57	0.2431498541
58	0.2406475126
59	0.2388650993
60	0.2371924264
61	0.2353966002
62	0.2334828401
63	0.2315461737
64	0.2294790299
65	0.2278309798
66	0.2261231129
67	0.2241262444
68	0.2222911773
69	0.2210912953
70	0.2198686234
71	0.2180597993
72	0.2170235736
73	0.215232524
74	0.2135871473
75	0.2124101441
76	0.2110842295
77	0.2097968082
78	0.2081571121
79	0.2068328645
80	0.2055034066
81	0.2045615594
82	0.2037406126
83	0.2027060998
84	0.2016641717
85	0.2002932206
86	0.1991787591
87	0.1981149759
88	0.1969199207
89	0.1958488472
90	0.1947946874
91	0.1939459095
92	0.1927937089
93	0.1920519455
94	0.1910434181
95	0.1899260946
96	0.1889394909
97	0.1883277453
98	0.1875129146
99	0.1868122507
100	0.1859957451
101	0.1851712361
102	0.1843800867
103	0.1837595165
104	0.1829553373
105	0.1823699278
106	0.1818590412
107	0.1811731081
108	0.1804962112
109	0.1801101653
110	0.1792723903
111	0.1785237455
112	0.1778422267
113	0.1773118662
114	0.1764146971
115	0.1759380905
116	0.1753391843
117	0.1746603025
118	0.1740982329
119	0.1735322093
120	0.1730703839
121	0.1724922813
122	0.1719046116
123	0.1712093229
124	0.1704456137
125	0.1699820182
126	0.1695857787
127	0.1689807584
128	0.1685264835
129	0.1680731779
130	0.1677567999
131	0.167300868
132	0.1667831401
133	0.1661935437
134	0.165713132
135	0.1653871728
136	0.1649268328
137	0.1646620377
138	0.1641755115
139	0.1634459627
140	0.163015937
141	0.162610996
142	0.1621448516
143	0.1617405946
144	0.1613199895
145	0.1607495633
146	0.1603680745
147	0.15982783
148	0.1596102765
149	0.1592716317
150	0.1588780414
151	0.1584888574
152	0.1578781044
153	0.157427077
154	0.156936961
155	0.1565486968
156	0.1561310028
157	0.1557776899
158	0.1554611517
159	0.1551279187
160	0.1548375951
161	0.1545994096
162	0.1542803751
163	0.1539795161
164	0.1536557702
165	0.1533359732
166	0.1529734761
167	0.1526675017
168	0.1523744195
169	0.1520913861
170	0.1518626888
171	0.15164649
172	0.1514851304
173	0.1511155581
174	0.1508140468
175	0.1505278517
176	0.1501231645
177	0.1498759723
178	0.1496326674
179	0.1494500682
180	0.1491229825
181	0.1487902141
182	0.1485517419
183	0.1482146482
184	0.1479277216
185	0.1476733373
186	0.1474047473
187	0.1470910216
188	0.1468154891
189	0.1465538508
190	0.1463928245
191	0.1461535988
192	0.1459545313
193	0.1457762464
194	0.1454853631
195	0.1451364873
196	0.1449111547
197	0.1446288155
198	0.144519571
199	0.1441248851
200	0.1439884441
201	0.1438039536
202	0.1435691169
203	0.143392285
204	0.1431224988
205	0.1429066296
206	0.1428022715
207	0.1426276695
208	0.1424648866
209	0.1421307067
210	0.1417621949
211	0.1415710672
212	0.1412537563
213	0.1410971363
214	0.1410766937
215	0.1408655096
216	0.1405004306
217	0.1403184972
218	0.1400810092
219	0.1397811105
220	0.1394408129
221	0.1393243878
222	0.1391214494
223	0.1389252608
224	0.1386779459
225	0.1385181594
226	0.1383217988
227	0.1380926235
228	0.1380656159
229	0.1377503711
230	0.1376692133
231	0.1373711401
232	0.1371579187
233	0.1370952761
234	0.1369284639
235	0.1367090643
236	0.1364630036
237	0.136317502
238	0.1361703683
239	0.1359452771
240	0.135739639
241	0.1355365842
242	0.1354855285
243	0.1354327824
244	0.1351590615
245	0.1350061733
246	0.1347929772
247	0.1346360936
248	0.1345442626
249	0.1344229282
250	0.1341605216
251	0.1339898364
252	0.1337709485
253	0.1335906437
254	0.1335580884
255	0.1334511128
256	0.1332932636
257	0.1331972162
258	0.1330501648
259	0.1328981281
260	0.132689096
261	0.132551747
262	0.1324099082
263	0.1322325147
264	0.1321185593
265	0.1319679425
266	0.131945289
267	0.1319165171
268	0.1318933083
269	0.1317797379
270	0.1315873922
271	0.1314842911
272	0.1314096233
273	0.131250801
274	0.1310148329
275	0.1309422695
276	0.1307854731
277	0.1307227817
278	0.1304933073
279	0.1304348337
280	0.1302038616
281	0.1300181504
282	0.129848299
283	0.1297255821
284	0.1296794964
285	0.1296456837
286	0.1295693806
287	0.1295207557
288	0.1294796313
289	0.1293569579
290	0.1292229241
291	0.1290555993
292	0.1288596732
293	0.1287531471
294	0.1286236962
295	0.1285787007
296	0.1284938321
297	0.1283799289
298	0.128212871
299	0.1279542928
300	0.1278126931
301	0.1277317473
302	0.127667509
303	0.1274975019
304	0.1273335881
305	0.1272863018
306	0.1270746397
